year,Infant,Children,Youth,Adult,Elderly,Sum Prediction,Total_Populations,Province,DependencyRatio
2036,212744.9756615907,5826948.918257404,5707008.605182271,40266767.51167656,12338137.13007516,64351607.14085299,65383666.84207667,ทั่วประเทศ,0.3997459546781694
2037,117293.74385967175,5628483.390320809,5534574.216956595,40421958.88155752,12612289.055596536,64314599.288291134,65333161.703005694,ทั่วประเทศ,0.39946586376356963
2038,21842.51205775258,5430017.862384213,5362139.828730918,40577150.25143848,12886440.98111791,64277591.43572928,65282656.56393472,ทั่วประเทศ,0.39918556258830745
2039,0.0,5231552.334447618,5189705.44050524,40732341.62131945,13160592.906639285,64240583.58316743,65232151.42486375,ทั่วประเทศ,0.400507956806142
2040,0.0,5033086.806511022,5017271.052279564,40887532.99120042,13434744.83216066,64203575.73060558,65181646.28579278,ทั่วประเทศ,0.40230716639546865
2041,0.0,4834621.278574426,4844836.664053886,41042724.361081384,13708896.757682033,64166567.878043726,65131141.14672181,ทั่วประเทศ,0.40410772815097107
2042,0.0,4636155.75063783,4672402.275828209,41197915.73096235,13983048.683203407,64129560.02548187,65080636.00765084,ทั่วประเทศ,0.40590964359751946
2043,0.0,4437690.222701235,4499967.887602531,41353107.10084331,14257200.60872478,64092552.17292001,65030130.868579865,ทั่วประเทศ,0.40771291426227785
2044,0.0,4239224.694764638,4327533.499376854,41508298.47072428,14531352.534246156,64055544.320358165,64979625.7295089,ทั่วประเทศ,0.4095175416747078
2045,0.0,4040759.166828043,4155099.1111511774,41663489.840605244,14805504.45976753,64018536.46779631,64929120.59043793,ทั่วประเทศ,0.4113235273665737
2046,0.0,3842293.6388914473,3982664.7229255,41818681.21048621,15079656.385288905,63981528.615234464,64878615.45136695,ทั่วประเทศ,0.4131308728719464
2047,0.0,3643828.110954852,3810230.3346998226,41973872.58036718,15353808.31081028,63944520.76267262,64828110.31229598,ทั่วประเทศ,0.4149395797272078
2048,0.0,3445362.5830182564,3637795.946474145,42129063.95024814,15627960.236331653,63907512.91011076,64777605.173225015,ทั่วประเทศ,0.4167496494710553
2049,0.0,3246897.05508166,3465361.5582484687,42284255.320129104,15902112.161853027,63870505.057548895,64727100.03415404,ทั่วประเทศ,0.4185610836445058
2050,0.0,3048431.5271450644,3292927.1700227913,42439446.69001007,16176264.087374402,63833497.20498706,64676594.89508307,ทั่วประเทศ,0.4203738837909004
2013,153467.1,740236.6000000001,787822.5477397203,3289696.4000000004,565539.0,5536761.6477397205,5692284.0,กรุงเทพมหานคร,0.35787514876145404
2014,153122.9774561138,737704.736846752,780825.8597270782,3288653.5759110586,565690.111818,5525997.261759003,5688190.753019048,กรุงเทพมหานคร,0.3579125657609985
2015,149834.32168513697,723402.6065584136,767454.9397346206,3286040.963221613,596372.6723414642,5523105.503541248,5696970.2241276475,กรุงเทพมหานคร,0.3625536168701248
2016,139736.2291561774,706157.5483077809,757519.7062827799,3282556.180303045,628037.8183586834,5514007.482408467,5700734.850016709,กรุงเทพมหานคร,0.3648277005678295
2017,134247.15110673645,691534.2467564791,735835.2715429724,3278615.312707104,656860.8981168428,5497092.880230134,5681408.509612916,กรุงเทพมหานคร,0.36932632868789567
2018,129319.33683220294,676015.1848221306,715135.0212755261,3271164.95173754,689640.2131477711,5481274.70781517,5677790.058356579,กรุงเทพมหานคร,0.37502815767076353
2019,124288.76393894224,659914.3422985522,699812.4151707146,3261293.713109649,723736.9210617174,5469046.155579574,5671253.102923876,กรุงเทพมหานคร,0.38068660077882194
2020,118361.66383228399,640318.2638202781,677624.4990643199,3257593.863797745,758122.8248241416,5452021.115338769,5657477.84381233,กรุงเทพมหานคร,0.3854430968281873
2021,109246.53238873335,619212.9152864787,648661.4390282821,3244867.1754163257,791615.5802243836,5413603.642344203,5532414.6659372775,กรุงเทพมหานคร,0.3904106476218685
2022,97875.85323008304,593488.1460831353,615508.5764420014,3213886.024130091,818911.3652211525,5339669.965106463,5468840.572808807,กรุงเทพมหานคร,0.394390111770864
2023,89289.07344321205,569501.1814933394,596048.554908873,3201710.3327230494,850855.120151797,5307404.262720271,5453461.816889447,กรุงเทพมหานคร,0.39750953648078535
2024,80532.0172235971,548750.262715354,571949.5600571393,3186490.758934358,881688.8184774881,5269411.417407936,5412122.09091485,กรุงเทพมหานคร,0.4020207772839874
2025,71774.96100398214,527999.3439373686,547850.5652054053,3171271.185145667,912522.5168031792,5231418.572095602,5370782.364940253,กรุงเทพมหานคร,0.4066274037954725
2026,63017.90478436717,507248.4251593832,523751.57035367156,3156051.611356975,943356.2151288703,5193425.726783268,5329442.638965656,กรุงเทพมหานคร,0.4113324735941383
2027,54260.84856475221,486497.50638139783,499652.57550193765,3140832.0375682837,974189.9134545615,5155432.881470934,5288102.912991059,กรุงเทพมหานคร,0.4161391763507749
2028,45503.79234513725,465746.5876034125,475553.5806502038,3125612.4637795924,1005023.6117802527,5117440.036158598,5246763.187016462,กรุงเทพมหานคร,0.42105084103915214
2029,36746.736125522286,444995.6688254271,451454.58579846995,3110392.889990901,1035857.3101059438,5079447.190846264,5205423.461041865,กรุงเทพมหานคร,0.42607094362471687
2030,27989.679905907324,424244.75004744175,427355.5909467361,3095173.31620221,1066691.0084316349,5041454.34553393,5164083.735067268,กรุงเทพมหานคร,0.43120311526821997
2031,19232.62368629237,403493.83126945636,403256.59609500226,3079953.7424135185,1097524.7067573261,5003461.500221595,5122744.009092671,กรุงเทพมหานคร,0.43645115108495935
