ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,รหัสหมู่บ้าน,ชื่อหมู่บ้าน,ชาย < 1 ปี,หญิง < 1 ปี,ชาย 1 ปี,หญิง 1 ปี,ชาย 2 ปี,หญิง 2 ปี,ชาย 3 ปี,หญิง 3 ปี,ชาย 4 ปี,หญิง 4 ปี,ชาย 5 ปี,หญิง 5 ปี,ชาย 6 ปี,หญิง 6 ปี,ชาย 7 ปี,หญิง 7 ปี,ชาย 8 ปี,หญิง 8 ปี,ชาย 9 ปี,หญิง 9 ปี,ชาย 10 ปี,หญิง 10 ปี,ชาย 11 ปี,หญิง 11 ปี,ชาย 12 ปี,หญิง 12 ปี,ชาย 13 ปี,หญิง 13 ปี,ชาย 14 ปี,หญิง 14 ปี,ชาย 15 ปี,หญิง 15 ปี,ชาย 16 ปี,หญิง 16 ปี,ชาย 17 ปี,หญิง 17 ปี,ชาย 18 ปี,หญิง 18 ปี,ชาย 19 ปี,หญิง 19 ปี,ชาย 20 ปี,หญิง 20 ปี,ชาย 21 ปี,หญิง 21 ปี,ชาย 22 ปี,หญิง 22 ปี,ชาย 23 ปี,หญิง 23 ปี,ชาย 24 ปี,หญิง 24 ปี,ชาย 25 ปี,หญิง 25 ปี,ชาย 26 ปี,หญิง 26 ปี,ชาย 27 ปี,หญิง 27 ปี,ชาย 28 ปี,หญิง 28 ปี,ชาย 29 ปี,หญิง 29 ปี,ชาย 30 ปี,หญิง 30 ปี,ชาย 31 ปี,หญิง 31 ปี,ชาย 32 ปี,หญิง 32 ปี,ชาย 33 ปี,หญิง 33 ปี,ชาย 34 ปี,หญิง 34 ปี,ชาย 35 ปี,หญิง 35 ปี,ชาย 36 ปี,หญิง 36 ปี,ชาย 37 ปี,หญิง 37 ปี,ชาย 38 ปี,หญิง 38 ปี,ชาย 39 ปี,หญิง 39 ปี,ชาย 40 ปี,หญิง 40 ปี,ชาย 41 ปี,หญิง 41 ปี,ชาย 42 ปี,หญิง 42 ปี,ชาย 43 ปี,หญิง 43 ปี,ชาย 44 ปี,หญิง 44 ปี,ชาย 45 ปี,หญิง 45 ปี,ชาย 46 ปี,หญิง 46 ปี,ชาย 47 ปี,หญิง 47 ปี,ชาย 48 ปี,หญิง 48 ปี,ชาย 49 ปี,หญิง 49 ปี,ชาย 50 ปี,หญิง 50 ปี,ชาย 51 ปี,หญิง 51 ปี,ชาย 52 ปี,หญิง 52 ปี,ชาย 53 ปี,หญิง 53 ปี,ชาย 54 ปี,หญิง 54 ปี,ชาย 55 ปี,หญิง 55 ปี,ชาย 56 ปี,หญิง 56 ปี,ชาย 57 ปี,หญิง 57 ปี,ชาย 58 ปี,หญิง 58 ปี,ชาย 59 ปี,หญิง 59 ปี,ชาย 60 ปี,หญิง 60 ปี,ชาย 61 ปี,หญิง 61 ปี,ชาย 62 ปี,หญิง 62 ปี,ชาย 63 ปี,หญิง 63 ปี,ชาย 64 ปี,หญิง 64 ปี,ชาย 65 ปี,หญิง 65 ปี,ชาย 66 ปี,หญิง 66 ปี,ชาย 67 ปี,หญิง 67 ปี,ชาย 68 ปี,หญิง 68 ปี,ชาย 69 ปี,หญิง 69 ปี,ชาย 70 ปี,หญิง 70 ปี,ชาย 71 ปี,หญิง 71 ปี,ชาย 72 ปี,หญิง 72 ปี,ชาย 73 ปี,หญิง 73 ปี,ชาย 74 ปี,หญิง 74 ปี,ชาย 75 ปี,หญิง 75 ปี,ชาย 76 ปี,หญิง 76 ปี,ชาย 77 ปี,หญิง 77 ปี,ชาย 78 ปี,หญิง 78 ปี,ชาย 79 ปี,หญิง 79 ปี,ชาย 80 ปี,หญิง 80 ปี,ชาย 81 ปี,หญิง 81 ปี,ชาย 82 ปี,หญิง 82 ปี,ชาย 83 ปี,หญิง 83 ปี,ชาย 84 ปี,หญิง 84 ปี,ชาย 85 ปี,หญิง 85 ปี,ชาย 86 ปี,หญิง 86 ปี,ชาย 87 ปี,หญิง 87 ปี,ชาย 88 ปี,หญิง 88 ปี,ชาย 89 ปี,หญิง 89 ปี,ชาย 90 ปี,หญิง 90 ปี,ชาย 91 ปี,หญิง 91 ปี,ชาย 92 ปี,หญิง 92 ปี,ชาย 93 ปี,หญิง 93 ปี,ชาย 94 ปี,หญิง 94 ปี,ชาย 95 ปี,หญิง 95 ปี,ชาย 96 ปี,หญิง 96 ปี,ชาย 97 ปี,หญิง 97 ปี,ชาย 98 ปี,หญิง 98 ปี,ชาย 99 ปี,หญิง 99 ปี,ชาย 100 ปี,หญิง 100 ปี,ชาย > 100 ปี,หญิง > 100 ปี,ชายเกิดปีจันทรคติ,หญิงเกิดปีจันทรคติ,ผลรวมประชากรที่เกิดปีจันทรคติ,จำนวนประชากรชายที่มีชื่ออยู่ในทะเบียนบ้านกลาง,จำนวนประชากรหญิงที่มีชื่ออยู่ในทะเบียนบ้านกลาง,ผลรวมประชากรที่มีชื่ออยู่ในทะเบียนบ้านกลาง,จำนวนประชากรชายที่มิใช่สัญชาติไทย,จำนวนประชากรหญิงที่มิใช่สัญชาติไทย,ผลรวมประชากรที่มิใช่สัญชาติไทย,จำนวนประชากรชายที่อยู่ระหว่างการย้าย,จำนวนประชากรหญิงที่อยู่ระหว่างการย้าย,ผลรวมประชากรที่อยู่ระหว่างการย้าย,จำนวนประชากรชายทั้งหมด,จำนวนประชากรหญิงทั้งหมด,ผลรวมประชากรทั้งหมด
5812,0,ทั่วประเทศ,0,,0,,0,,"333,776","316,556","369,267","348,468","379,735","357,917","407,921","385,288","400,381","377,643","386,616","365,806","398,587","375,868","401,081","378,651","409,870","387,363","406,716","383,493","411,185","389,664","416,162","394,429","405,079","382,868","406,733","385,160","408,387","386,727","429,852","409,137","429,942","407,261","458,017","436,622","495,949","472,253","506,197","482,112","499,731","478,635","473,885","461,916","481,289","466,825","487,224","474,741","486,059","471,863","479,316","467,110","460,494","447,961","450,590","439,059","446,983","439,669","462,487","454,966","479,915","473,380","482,309","477,340","492,910","490,164","510,294","508,693","510,542","509,290","521,733","520,694","521,620","523,870","503,455","509,274","527,865","536,238","519,855","532,347","509,409","523,920","516,695","535,421","504,391","526,374","518,197","545,744","523,312","557,019","512,467","544,960","501,816","539,784","517,688","559,745","494,690","534,027","480,830","526,292","486,501","532,927","481,461","532,837","453,098","497,256","441,622","483,782","420,367","463,186","416,126","466,153","398,228","444,985","362,882","411,343","349,137","396,757","321,813","363,236","298,813","341,312","302,896","352,846","280,169","327,379","274,414","320,473","256,912","301,983","243,395","288,944","234,391","280,636","208,507","248,391","188,809","225,718","171,360","207,852","152,014","187,316","146,122","177,399","135,012","167,573","127,959","161,035","125,846","161,783","109,817","144,484","110,783","145,965","105,075","140,768","93,207","129,446","85,430","120,598","76,600","112,344","69,433","99,860","62,626","94,067","56,228","84,945","46,357","73,209","40,078","64,036","34,243","55,629","29,451","48,546","24,700","41,501","18,818","32,426","15,589","27,011","11,589","20,197","9,658","16,329","7,666","13,381","6,210","10,482","5,191","8,482","3,666","6,053","2,914","4,399","2,772","4,200","2,402","3,490","2,024","2,964","9,477","11,702",202,214,416,"370,123","305,726","675,849","349,894","324,132","674,026","101,305","57,917","159,222","32,280,886","33,448,212","65,729,098"
5812,10,กรุงเทพมหานคร,0,,0,,0,,"22,719","21,587","25,621","23,993","26,375","24,514","28,336","27,176","27,680","26,401","27,816","26,149","29,125","27,666","29,639","28,387","31,218","29,358","30,863","29,242","31,624","30,299","32,775","31,268","32,836","31,327","32,817","31,858","32,648","31,936","36,159","35,155","33,767","33,433","35,752","34,841","40,226","39,687","40,856","39,886","40,836","40,995","41,346","38,539","44,359","38,606","38,876","38,668","37,566","37,936","36,955","38,062","35,538","36,335","35,974","36,999","33,938","35,410","35,548","37,762","37,689","40,376","38,316","41,465","39,780","43,841","40,752","45,876","42,210","47,347","43,854","49,595","44,194","49,704","42,493","48,829","43,279","50,032","43,323","50,198","41,628","48,708","41,477","48,745","40,362","47,551","41,982","49,672","43,156","51,315","42,408","50,443","41,691","49,859","42,948","51,318","41,791","49,503","40,169","48,639","41,490","49,964","41,936","50,121","40,189","48,448","38,986","47,529","38,025","45,712","38,105","46,603","36,486","44,309","33,666","40,932","32,408","39,695","31,302","38,383","28,467","36,296","28,224","36,487","26,272","33,682","24,805","32,368","23,695","31,254","22,538","29,346","21,182","28,108","18,693","24,845","16,613","22,013","14,712","20,010","13,448","18,515","12,744","17,652","12,061","16,746","10,961","15,526","10,988","15,865","9,256","13,129","9,653","14,454","9,119","13,450","8,329","12,358","7,768","11,868","6,538","10,590","5,947","9,580","5,199","8,324","4,761","8,178","3,847","6,881","3,331","5,892","2,708","5,235","2,304","4,544","1,938","3,945","1,559","3,107","1,288","2,468",991,"1,981",850,"1,656",683,"1,282",554,999,496,764,383,573,293,479,314,422,273,389,221,292,"1,400","1,800",23,37,60,"54,496","44,426","98,922","28,719","21,765","50,484","20,524","13,590","34,114","2,695,051","3,001,358","5,696,409"
5812,11,จังหวัดสมุทรปราการ,0,,0,,0,,"6,572","6,102","7,152","6,962","7,369","6,727","7,969","7,598","7,727","7,255","7,483","7,003","7,647","7,183","7,703","7,397","7,862","7,241","7,607","7,171","7,763","7,408","7,986","7,685","7,819","7,339","7,754","7,585","7,748","7,487","8,381","8,003","8,120","7,917","8,423","8,314","9,495","9,519","9,576","9,515","9,618","9,478","8,189","8,944","8,120","8,898","8,702","8,865","8,597","8,741","8,251","8,517","7,977","8,476","7,722","8,306","7,504","8,177","8,341","8,963","8,750","9,564","8,804","9,750","9,448","10,681","10,265","11,197","10,530","11,271","10,999","11,943","10,916","11,926","10,743","11,593","11,077","11,956","10,838","11,943","10,429","11,614","10,382","11,722","9,887","11,239","10,580","11,790","11,172","12,378","10,768","11,902","10,645","11,720","10,746","11,819","10,513","11,427","9,958","10,856","10,138","11,327","9,738","10,841","9,150","10,410","9,075","10,189","8,256","9,526","8,305","9,472","7,730","8,830","6,759","8,115","6,462","7,760","5,763","6,891","5,463","6,833","5,590","7,079","5,199","6,655","4,897","6,083","4,596","5,795","4,230","5,469","4,147","5,330","3,463","4,338","3,033","3,715","2,790","3,509","2,460","3,474","2,353","3,012","2,270","2,952","1,943","2,677","2,080","2,903","1,713","2,364","1,752","2,579","1,614","2,363","1,443","2,105","1,389","2,003","1,057","1,717","1,022","1,494",885,"1,417",769,"1,289",708,"1,141",519,924,458,936,400,748,338,655,247,477,210,425,167,357,146,280,111,237,84,169,84,130,77,111,58,74,57,85,49,74,41,59,335,460,4,5,9,"7,062","5,438","12,500","2,870","2,177","5,047","3,592","2,987","6,579","613,778","665,532","1,279,310"
5812,12,จังหวัดนนทบุรี,0,,0,,0,,"5,272","4,976","5,849","5,609","6,177","5,625","6,756","6,366","6,625","6,219","6,200","5,997","6,432","6,063","6,548","6,093","6,832","6,318","6,561","6,287","6,748","6,294","6,789","6,228","6,644","6,375","6,618","6,375","6,712","6,548","7,046","6,860","6,825","6,722","7,306","7,253","8,109","7,878","8,294","7,939","8,204","7,824","7,438","7,633","7,058","7,807","7,263","7,839","7,273","7,750","7,001","7,789","7,021","7,562","7,060","7,527","6,692","7,396","7,130","8,039","7,598","8,581","7,933","8,907","8,313","9,679","8,948","10,331","9,126","10,555","9,575","11,270","9,554","11,183","9,471","10,974","9,658","11,271","9,436","11,277","9,208","11,069","9,161","10,957","8,927","10,788","9,401","11,357","9,700","11,784","9,512","11,361","9,556","11,414","9,430","11,582","9,376","11,264","8,847","10,945","9,386","11,519","9,016","11,591","8,536","10,548","8,498","10,646","7,966","10,203","8,166","10,243","7,446","9,489","6,926","8,789","6,586","8,495","6,487","8,128","5,968","7,742","5,686","7,498","5,135","6,964","4,921","6,599","4,724","6,349","4,398","5,931","4,155","5,750","3,591","4,781","3,172","4,291","3,130","4,233","2,695","3,769","2,580","3,567","2,389","3,226","2,175","3,119","2,490","3,153","1,940","2,681","2,059","2,839","1,923","2,626","1,932","2,440","1,889","2,390","1,645","2,073","1,420","1,864","1,234","1,584","1,241","1,463","1,072","1,333",905,"1,123",833,"1,009",725,893,599,745,529,615,467,428,412,405,346,323,284,240,246,180,212,126,173,141,153,79,133,92,152,67,116,59,812,179,2,4,6,"5,947","4,960","10,907","2,465","1,871","4,336","1,818","1,397","3,215","559,119","634,592","1,193,711"
5812,13,จังหวัดปทุมธานี,0,,0,,0,,"5,649","5,278","6,190","5,841","6,367","6,005","7,193","6,831","7,004","6,472","6,745","6,326","6,788","6,402","6,830","6,530","7,142","6,565","7,061","6,565","6,969","6,389","6,743","6,648","6,739","6,301","6,695","6,460","6,588","6,318","6,859","6,875","6,676","6,550","7,047","6,996","8,004","8,183","8,362","9,375","8,137","9,078","7,706","8,469","7,449","8,037","7,427","7,820","7,116","7,525","6,790","7,300","6,642","7,009","6,376","7,030","6,407","7,072","6,892","7,728","7,282","8,146","7,514","8,326","8,049","8,946","8,540","9,620","8,852","10,118","9,134","10,751","9,461","10,690","9,209","10,676","9,487","10,940","9,522","11,012","9,117","10,572","9,292","10,778","9,062","10,302","9,320","10,855","9,752","11,127","9,542","10,819","9,225","10,517","9,516","10,987","8,905","10,073","8,567","9,968","8,568","9,879","8,177","9,633","7,617","8,726","7,480","8,612","6,670","7,737","6,654","7,863","6,030","7,386","5,477","6,568","5,151","6,296","4,711","5,760","4,342","5,163","4,485","5,711","4,162","5,189","3,889","4,961","3,759","4,615","3,488","4,270","3,263","4,101","2,849","3,565","2,528","3,199","2,256","2,921","2,016","2,624","1,920","2,498","1,796","2,330","1,547","2,068","1,696","2,251","1,336","1,893","1,377","1,878","1,331","1,788","1,144","1,666","1,171","1,511",910,"1,330",806,"1,161",716,"1,083",626,948,464,808,417,721,358,615,277,524,240,478,169,381,162,321,116,249,104,167,91,171,42,104,53,98,36,93,22,49,25,43,24,44,21,26,106,181,3,2,5,"5,416","4,007","9,423","2,202","1,607","3,809","1,715","1,223","2,938","519,952","574,297","1,094,249"
5812,14,จังหวัดพระนครศรีอยุธยา,0,,0,,0,,"4,061","3,959","4,454","4,288","4,578","4,329","4,870","4,594","4,828","4,510","4,629","4,306","4,795","4,523","4,849","4,649","5,098","4,704","4,741","4,630","4,837","4,605","4,974","4,580","4,803","4,646","4,921","4,469","4,727","4,356","4,789","4,591","4,807","4,599","5,213","5,024","5,975","5,536","5,900","5,345","5,819","5,517","5,175","5,322","4,709","5,405","5,536","5,531","5,599","5,518","5,385","5,217","5,304","5,368","5,141","4,999","5,193","5,196","5,475","5,670","5,780","5,750","5,792","5,830","6,026","6,100","6,375","6,534","6,466","6,543","6,540","6,912","6,642","6,916","6,409","6,701","6,861","7,134","6,525","6,937","6,388","6,756","6,187","6,677","6,134","6,419","6,276","7,004","6,470","6,953","6,306","6,844","6,323","7,187","6,544","7,302","6,168","6,726","6,263","6,883","6,514","7,312","6,127","6,946","5,807","6,570","5,695","6,654","5,259","6,071","5,309","6,343","4,889","5,753","4,399","5,231","4,194","4,999","3,842","4,488","3,413","4,093","3,915","4,801","3,467","4,371","3,450","4,301","3,302","3,955","3,027","4,025","2,899","3,676","2,551","3,228","2,266","2,905","2,101","2,827","1,891","2,588","1,848","2,470","1,739","2,366","1,583","2,183","1,728","2,554","1,490","2,242","1,510","2,223","1,423","2,109","1,312","1,985","1,397","2,027","1,263","1,847","1,045","1,605",921,"1,580",815,"1,268",734,"1,192",600,"1,068",475,958,433,834,398,722,285,564,275,472,199,385,180,276,110,268,105,177,80,114,51,111,46,78,35,86,30,57,23,38,232,309,2,2,4,"3,490","2,257","5,747",751,580,"1,331",889,648,"1,537","389,474","418,886","808,360"
5812,15,จังหวัดอ่างทอง,0,,0,,0,,"1,201","1,204","1,415","1,224","1,435","1,358","1,495","1,452","1,497","1,411","1,445","1,474","1,529","1,467","1,542","1,499","1,629","1,471","1,597","1,459","1,591","1,496","1,647","1,559","1,612","1,482","1,643","1,489","1,710","1,496","1,678","1,640","1,661","1,595","1,803","1,772","1,990","1,878","1,966","1,882","2,003","1,802","1,727","1,810","1,776","1,899","1,954","1,901","1,864","1,887","1,942","1,891","1,860","1,813","1,867","1,740","1,859","1,721","1,871","1,882","2,052","1,888","2,052","1,926","2,019","1,999","2,102","2,006","1,989","1,944","2,078","2,119","2,141","2,179","2,080","2,031","2,188","2,215","2,106","2,215","2,078","2,154","2,013","2,094","1,895","1,954","2,038","2,128","2,114","2,180","2,085","2,208","2,211","2,318","2,152","2,437","2,094","2,270","2,154","2,442","2,378","2,833","2,339","2,649","2,158","2,429","2,103","2,505","1,992","2,298","1,956","2,426","1,834","2,287","1,687","2,051","1,691","1,991","1,436","1,762","1,427","1,836","1,457","1,870","1,388","1,688","1,485","1,888","1,322","1,808","1,274","1,577","1,219","1,528","1,097","1,428",926,"1,228",874,"1,134",763,"1,108",680,920,759,970,634,897,713,"1,058",602,918,628,965,614,987,624,930,554,867,532,818,418,663,381,668,331,544,290,531,258,475,221,397,152,328,140,279,107,274,93,199,77,164,51,119,46,98,28,72,22,54,15,50,8,21,12,26,9,16,9,11,17,26,8,3,11,"1,339",965,"2,304",133,127,260,146,141,287,"135,907","147,266","283,173"
5812,16,จังหวัดลพบุรี,0,,0,,0,,"3,284","3,276","3,840","3,471","3,899","3,663","4,161","4,029","4,311","3,876","4,047","3,821","4,223","3,952","4,323","4,032","4,457","4,047","4,296","4,146","4,487","4,206","4,549","4,396","4,364","4,047","4,372","4,075","4,411","4,124","4,640","4,376","4,735","4,380","5,061","4,738","5,419","5,142","5,429","4,884","5,423","4,850","9,690","4,820","10,275","4,818","6,187","5,196","5,840","5,173","5,720","5,240","5,394","4,934","5,138","4,846","5,200","4,772","5,198","5,251","5,554","5,145","5,349","5,064","5,536","5,309","5,574","5,550","5,394","5,233","5,542","5,237","5,612","5,514","5,458","5,221","5,505","5,748","5,665","5,778","5,638","5,662","5,614","5,590","5,340","5,476","5,403","5,825","5,621","6,327","5,666","6,115","5,468","6,055","6,096","6,697","5,710","6,414","5,864","6,563","6,051","6,794","5,990","6,762","5,251","6,261","5,629","6,179","5,453","5,946","5,443","5,879","5,207","5,648","4,539","5,097","4,459","4,751","3,959","4,451","3,623","4,153","3,708","4,405","3,459","4,098","3,455","3,965","3,127","3,835","3,017","3,571","2,891","3,483","2,448","3,160","2,348","2,782","2,247","2,578","1,966","2,504","1,939","2,201","1,697","2,125","1,639","2,160","1,673","2,171","1,476","2,062","1,452","2,020","1,443","1,919","1,254","1,670","1,183","1,654","1,127","1,503","1,023","1,326",991,"1,320",837,"1,103",621,936,577,838,478,756,378,625,318,516,268,420,197,309,156,293,114,216,103,157,87,138,56,107,47,76,28,68,25,51,38,43,17,34,148,183,2,0,2,"8,311","4,966","13,277",394,295,689,"2,174",465,"2,639","380,523","378,132","758,655"
5812,17,จังหวัดสิงห์บุรี,0,,0,,0,,875,794,"1,015",919,"1,006",919,"1,104","1,028","1,113","1,043","1,108","1,020","1,145","1,070","1,137","1,073","1,149","1,140","1,155","1,074","1,134","1,119","1,081","1,085","1,185","1,123","1,135","1,126","1,087","1,065","1,155","1,129","1,181","1,177","1,364","1,200","1,370","1,265","1,477","1,278","1,400","1,238","1,215","1,213","1,242","1,309","1,389","1,408","1,441","1,369","1,388","1,422","1,328","1,272","1,320","1,324","1,317","1,327","1,451","1,372","1,543","1,437","1,452","1,442","1,470","1,440","1,576","1,488","1,518","1,503","1,563","1,545","1,566","1,513","1,503","1,475","1,656","1,519","1,562","1,578","1,446","1,551","1,403","1,472","1,381","1,371","1,437","1,529","1,495","1,666","1,499","1,708","1,517","1,726","1,500","1,794","1,524","1,721","1,558","1,815","1,766","1,990","1,700","2,105","1,577","1,912","1,697","1,990","1,567","1,856","1,591","1,932","1,450","1,780","1,277","1,693","1,246","1,623","1,169","1,431","1,056","1,358","1,184","1,613","1,175","1,422","1,135","1,411","1,023","1,377","1,018","1,285",984,"1,349",869,"1,161",819,"1,085",745,973,641,903,594,777,590,738,528,732,600,858,485,678,486,723,528,760,446,728,419,664,451,640,340,508,315,508,244,371,206,429,176,378,153,313,130,227,111,239,85,156,68,124,49,122,52,78,34,53,24,67,8,42,13,20,5,12,3,11,6,11,2,9,14,17,0,0,0,"1,105",957,"2,062",124,100,224,130,84,214,"100,849","110,577","211,426"
5812,18,จังหวัดชัยนาท,0,,0,,0,,"1,379","1,393","1,619","1,506","1,646","1,566","1,732","1,682","1,767","1,646","1,811","1,575","1,811","1,718","1,784","1,640","1,886","1,754","1,841","1,801","1,840","1,802","1,832","1,787","1,807","1,658","1,743","1,654","1,712","1,658","1,863","1,713","1,922","1,752","2,086","1,949","2,217","2,055","2,314","2,043","2,305","2,158","1,845","2,076","1,993","2,152","2,363","2,309","2,238","2,340","2,238","2,173","2,170","2,074","2,058","1,998","2,017","1,970","2,082","2,032","2,317","2,186","2,236","2,070","2,242","2,326","2,310","2,378","2,370","2,223","2,370","2,317","2,420","2,411","2,290","2,318","2,441","2,493","2,589","2,541","2,518","2,602","2,422","2,486","2,439","2,452","2,425","2,497","2,561","2,567","2,536","2,734","2,539","2,667","2,626","2,721","2,436","2,900","2,534","2,930","2,856","3,139","2,747","3,024","2,510","2,838","2,581","2,826","2,478","3,013","2,252","2,794","2,299","2,831","2,004","2,437","2,109","2,505","1,831","2,173","1,681","2,121","1,910","2,398","1,703","2,202","1,767","2,155","1,627","1,963","1,570","2,024","1,519","1,995","1,410","1,708","1,223","1,472","1,061","1,474",948,"1,268",934,"1,260",915,"1,167",841,"1,054",976,"1,245",788,"1,076",814,"1,050",794,"1,109",717,983,670,977,584,954,569,758,487,712,381,575,337,534,305,489,226,409,206,375,169,329,144,214,102,192,79,169,67,124,46,96,36,80,24,49,18,30,10,25,16,20,9,14,9,13,18,54,0,0,0,"1,688","1,604","3,292",129,122,251,140,104,244,"159,876","171,779","331,655"
